LATITUDE,LONGITUDE,FLOOR
4864981.83317,-7596.20320000127,1
4864982.34492,-7594.65192000046,1
4864982.66565,-7594.65192000046,1
4864984.76306162,-7594.59512999989,1
4864984.81925162,-7594.59512999989,1
4864988.87716657,-7587.10229999945,1
4864988.60353657,-7587.10229999945,1
4864988.53418657,-7587.10229999945,1
4864985.6838,-7589.06239999831,1
4864984.898115,-7594.83358999975,1
4864983.65159,-7595.26522999965,1
4864987.46248657,-7587.10229999945,1
4864982.54514,-7594.74101999998,1
4864983.830498,-7594.92816999965,1
4864954.36184,-7642.88795000091,1
4864983.636398,-7595.64555999935,1
4864984.414728,-7594.92816999965,1
4864984.204008,-7594.68970999979,1
4864986.53181657,-7587.10229999945,1
4864982.68697,-7595.27820000052,1
4864984.348638,-7594.73699999973,1
4864983.408098,-7595.64555999935,1
4864983.664488,-7595.64555999935,1
4864957.63648369,-7634.78647000082,1
4864985.98488657,-7587.10229999945,1
4864986.23789657,-7592.58200999946,1
4864986.26506657,-7587.10229999945,1
4864987.17534657,-7592.58200999946,1
4864987.23093657,-7592.58200999946,1
4864986.32775657,-7592.58200999946,1
4864986.41761657,-7592.58200999946,1
4864986.27216657,-7592.58200999946,1
4864986.18230657,-7587.10229999945,1
4864983.13644,-7594.74101999998,1
4864986.18230657,-7587.10229999945,1
4864986.26506657,-7587.10229999945,1
4864985.11633657,-7594.92816999965,1
4864983.127848,-7594.74101999998,1
4864985.69111657,-7589.06239999831,1
4864985.21955657,-7594.92816999965,1
4864985.36934657,-7589.06239999831,1
4864985.49368657,-7589.06239999831,1
4864985.89166657,-7587.10229999945,1
4864983.44488,-7600.24944999926,1
4864981.80045,-7602.75021000057,1
4864981.86676,-7595.81538000107,1
4864981.50719,-7603.19240000099,1
4864983.31025,-7612.12533999942,1
4864986.14014657,-7610.69087999985,1
4864987.24134657,-7611.64301999994,1
4864987.15895,-7620.00036999993,1
4864989.08253,-7624.69175999984,1
4864991.434505,-7635.41479000002,1
4864994.1558,-7633.73488000035,1
4864988.64390657,-7635.85478000008,1
4864987.60528,-7634.2819500003,1
4864988.24706524,-7629.30276999995,1
4864992.17302,-7634.2819500003,1
4864990.23139,-7636.69980000034,1
4864992.55815,-7637.12990000062,1
4864995.5491,-7637.51727000102,1
4864987.58082,-7623.05360999964,1
4864991.586285,-7631.38317000046,1
4864991.18043857,-7637.0865799997,2
4864991.755285,-7637.74851000011,2
4864990.388295,-7637.0865799997,2
4864989.69476524,-7634.92597000003,2
4864990.72278524,-7637.74851000011,2
4864991.755285,-7637.0865799997,2
4864991.755285,-7637.0865799997,2
4864986.658923,-7634.92597000003,2
4864986.244433,-7634.92597000003,2
4864987.134783,-7635.58790000044,2
4864986.938973,-7635.21055000052,2
4864986.929893,-7635.21055000052,2
4864986.938973,-7635.21055000052,2
4864987.069093,-7635.21055000052,2
4864982.78371078,-7634.93697000034,2
4864987.69782278,-7635.03414000049,2
4864986.94007278,-7635.03414000049,2
4864989.06481278,-7635.03414000049,2
4864987.70690278,-7635.2513400007,2
4864986.759373,-7635.09216000028,2
4864986.759373,-7635.52308000028,2
4864982.81351078,-7636.74715000018,2
4864983.78084078,-7622.68519000001,1
4864984.92687078,-7627.78923000023,1
4864982.87181078,-7634.37471000031,2
4864983.78116078,-7634.42572000027,2
4864987.11682078,-7634.1123300001,2
4864983.39830278,-7634.49224000014,2
4864983.78084078,-7634.1123300001,2
4864980.796005,-7612.6477699995,1
