LATITUDE,LONGITUDE,FLOOR
4864981.71820122,-7602.8771600008,1
4864975.51664122,-7613.59956000075,1
4864975.88013122,-7613.59956000075,1
4864980.53002244,-7602.0059799999,1
4864980.53002244,-7602.0059799999,1
4864976.62806411,-7613.59956000075,1
4864976.62806411,-7613.59956000075,1
4864976.62806411,-7613.59956000075,1
4864979.97892122,-7603.56509999931,1
4864975.88013122,-7613.59956000075,1
4864975.88013122,-7613.59956000075,1
4864976.62806411,-7613.59956000075,1
4864975.88013122,-7613.59956000075,1
4864981.71820122,-7603.19240000099,1
4864947.90192083,-7642.93912000023,1
4864979.17295244,-7609.25039999932,1
4864979.85733244,-7603.56509999931,1
4864979.55003244,-7609.77071999945,1
4864979.55003244,-7609.77071999945,1
4864975.88013122,-7613.59956000075,1
4864982.10429122,-7595.62147000097,1
4864982.10429122,-7595.62147000097,1
4864981.79699122,-7595.62147000097,1
4864948.55628848,-7635.18296000063,1
4864976.71973947,-7613.59956000075,1
4864981.71820122,-7602.91443000063,1
4864976.71973947,-7613.59956000075,1
4864982.02550122,-7596.77957000062,1
4864981.71820122,-7601.98433000073,1
4864982.02550122,-7595.23365000077,1
4864976.71973947,-7614.34341000095,1
4864982.02550122,-7595.23365000077,1
4864982.02550122,-7595.42756000087,1
4864976.12792122,-7613.59956000075,1
4864981.71820122,-7602.8771600008,1
4864976.41243947,-7613.59956000075,1
4864977.02703947,-7612.83613000065,1
4864971.58476,-7613.59956000075,1
4864971.58476,-7613.59956000075,1
4864981.46519122,-7602.8771600008,1
4864981.41292122,-7602.8771600008,1
4864981.46519122,-7603.19240000099,1
4864977.87234,-7609.25039999932,1
4864977.73633,-7610.75328000039,1
4864978.04363,-7609.42383999936,1
4864977.62455,-7610.75328000039,1
4864978.4032,-7609.25039999932,1
4864983.04304,-7604.73604999967,1
4864977.87234,-7610.73433999941,1
4864977.87234,-7610.73433999941,1
4864983.35034,-7616.26742999964,1
4864983.49497,-7617.33270999976,1
4864984.80183,-7631.64419,1
4864982.95538122,-7625.88067999967,1
4865004.1008,-7628.70144000053,1
4865004.73308,-7633.47576000057,1
4864996.19796,-7631.27205999941,1
4865006.46133867,-7633.41880000085,1
4864991.82443867,-7633.0522300005,1
4864996.85259438,-7632.9467900008,1
4864996.85259438,-7633.17712000087,1
4864984.29612867,-7626.7929299999,1
4864996.56618572,-7632.36563000083,1
4864999.96060571,-7632.88767000064,1
4865005.26536571,-7632.88767000064,1
4865002.40287571,-7633.41278000064,1
4865000.06716571,-7637.34778000005,2
4865000.23010571,-7638.14346000068,2
4865005.27021572,-7639.32652355097,2
4865002.40287571,-7638.41258000024,2
4865002.40772571,-7638.24953000024,2
4865002.56581571,-7638.41258000024,2
4865005.27021572,-7639.80465000011,2
4865002.40772571,-7639.27882000096,2
4865005.27021572,-7639.80465000011,2
4865005.27021572,-7639.32652355097,2
4865002.40772571,-7639.27882000096,2
4865002.40772571,-7639.16934000105,2
