LATITUDE,LONGITUDE,FLOOR
4864981.61185751,-7596.36053753668,1
4864982.35845858,-7595.95314571867,1
4864983.22662645,-7596.71858486556,1
4864984.3341275,-7589.71445105854,1
4864984.3341275,-7589.71445105854,1
4864984.20841332,-7589.78304850962,1
4864985.60893876,-7593.80580668151,1
4864984.49049844,-7589.62912538601,1
4864982.20910895,-7596.03464013105,1
4864985.39449673,-7593.92281954526,1
4864983.29284962,-7596.68244940136,1
4864983.82639294,-7594.77847416769,1
4864983.29284962,-7596.68244940136,1
4864983.08085367,-7596.79812753061,1
4864959.10928583,-7638.45285549527,1
4864983.4386224,-7596.60290673608,1
4864982.55553729,-7594.20984085673,1
4864980.47996735,-7596.97816696204,1
4864982.88895007,-7602.42304385407,1
4864983.08085367,-7596.79812753061,1
4864983.02607896,-7596.82801600848,1
4864980.90762992,-7596.74480776093,1
4864983.36471794,-7596.64323359006,1
4864960.06995534,-7636.04751881352,1
4864981.8778826,-7602.97474493343,1
4864981.72307629,-7596.2998496776,1
4864983.29284962,-7596.68244940136,1
4864980.16536907,-7601.71634584828,1
4864981.92415525,-7596.19012853084,1
4864982.36273927,-7595.95080991089,1
4864982.36273927,-7595.95080991089,1
4864984.17384441,-7594.58888310567,1
4864983.29284962,-7596.68244940136,1
4864981.89730394,-7596.20478027128,1
4864983.10897515,-7596.7827827069,1
4864981.28995674,-7596.53618654795,1
4864981.8778826,-7602.97474493343,1
4864982.73086974,-7594.11416860227,1
4864980.4299824,-7601.57195641845,1
4864981.83217376,-7596.24031933351,1
4864982.45326245,-7602.44149676594,1
4864980.8904092,-7596.75420444971,1
4864981.22355884,-7597.02906881599,1
4864983.3573604,-7603.44164909981,1
4864983.07205686,-7602.74786242354,1
4864982.21306947,-7596.03247902868,1
4864981.60159487,-7603.5502376277,1
4864981.23973939,-7597.02023970336,1
4864982.06030599,-7596.57248770958,1
4864982.36340833,-7596.40709628654,1
4864981.60630226,-7596.98461868963,1
4864980.99681341,-7597.31719358382,1
4864979.58198184,-7606.23522654246,1
4864987.30873702,-7606.28735034447,1
4864984.3927398,-7613.9282669425,1
4864995.42471532,-7618.38930298248,1
4864986.74598978,-7620.5461391455,1
4864987.31290565,-7616.91014730721,1
4864986.93024435,-7611.40777292172,1
4864980.91365989,-7607.89185247291,1
4864981.00611733,-7607.68293677061,1
4864992.82775712,-7608.92411012901,1
4864984.39460925,-7616.59651790955,1
4864999.0344593,-7639.6855508436,2
4864999.76467487,-7639.28709996771,2
4864998.90572901,-7639.755794066,2
4864998.41446322,-7640.02385912882,2
4864998.66695355,-7639.88608475542,2
4864998.66695355,-7639.88608475542,2
4864998.66695355,-7639.88608475542,2
4864998.66695355,-7639.88608475542,2
4864998.66695355,-7639.88608475542,2
4864999.30084767,-7639.54019283527,2
4864999.19800613,-7639.59630955546,2
4864999.04127773,-7639.68183028162,2
4864992.07943621,-7636.48257343145,2
4864995.44541728,-7636.12770038797,2
4864969.490741,-7634.3664227447,2
4864969.490741,-7634.3664227447,2
4864969.490741,-7634.3664227447,2
4864970.61871523,-7633.7509300916,2
4864970.61871523,-7633.7509300916,2
4864999.26843884,-7639.5578771017,2
4864995.12512349,-7636.30247253506,2
4864968.62780805,-7635.99994637654,2
4864968.15039946,-7635.25023291097,1
4864968.07155118,-7635.10573268798,1
4864968.08630458,-7635.13277030364,2
4864968.08630458,-7635.13277030364,2
4864968.08630458,-7635.13277030364,2
4864967.19537551,-7635.61891642399,2
4864969.21427881,-7634.51727765007,2
4864959.35598996,-7634.66959629557,1
4864958.57853813,-7633.24480980122,1
4864943.91903991,-7641.24394064094,1
4864944.0698964,-7641.52040573629,1
4864943.91903991,-7641.24394064094,1
4864945.04850934,-7640.62763211294,1
4864943.91903991,-7641.24394064094,1
4864946.60546948,-7643.48883915693,1
4864944.77544209,-7642.81341443979,1
4864944.77544209,-7642.81341443979,1
4864944.98018407,-7640.50241673016,1
4864945.39427262,-7641.26129046921,1
4864943.97976504,-7638.66901241965,1
4864945.11462838,-7640.74439246813,1
