LATITUDE,LONGITUDE,FLOOR
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864985.47201777,-7589.09354760102,1
4864985.47201777,-7589.09354760102,1
4864984.85977151,-7589.42762711132,1
4864984.85977151,-7589.42762711132,1
4864985.47201777,-7589.09354760102,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.85977151,-7589.42762711132,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864949.01660497,-7644.22107609804,1
4864983.99058671,-7589.90190820792,1
4864983.82488962,-7589.99232281395,1
4864985.38215112,-7593.92955607339,1
4864985.38215112,-7593.92955607339,1
4864984.8432397,-7594.2236195486,1
4864984.44609691,-7589.65335361101,1
4864985.02732129,-7589.33620156278,1
4864985.38215112,-7593.92955607339,1
4864947.71994039,-7642.87636764371,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.8432397,-7594.2236195486,1
4864984.24707045,-7594.58629399655,1
4864985.80025777,-7595.97748569096,1
4864984.8432397,-7594.2236195486,1
4864984.23135857,-7594.55749981897,1
4864984.8432397,-7594.2236195486,1
4864983.72675235,-7594.87021180242,1
4864983.72675235,-7594.87021180242,1
4864984.24707045,-7594.58629399655,1
4864983.72675235,-7594.87021180242,1
4864983.81831538,-7594.82024933933,1
4864986.2729273,-7599.32951242523,1
4864974.49665619,-7624.53946415382,1
4864992.34996654,-7609.65383921703,1
4864994.90618306,-7614.94646457117,1
4864987.67728262,-7614.50946227042,1
4865001.12523883,-7623.64312104159,1
4864997.20651965,-7616.76341771241,1
4864991.64618704,-7615.03915151511,1
4864991.04876706,-7615.36514088395,1
4864972.94498606,-7623.99092532857,1
4864986.14029072,-7614.19439523434,1
4864993.76795752,-7626.18555630627,1
4864993.25758849,-7623.68688050122,1
4864988.86064571,-7618.26669728523,1
4864998.27988616,-7635.52874006634,2
4864998.27988616,-7635.52874006634,2
4864999.26637497,-7635.10444475245,2
4864998.7316626,-7635.2822228421,2
4864999.26637497,-7635.10444475245,2
4864999.41507265,-7635.02330607921,2
4864998.96148728,-7635.27081036987,2
4864998.79049266,-7635.25012151338,2
4864997.70043065,-7636.30751617672,2
4864996.55469903,-7636.4701090958,2
4864997.50592635,-7635.95106051164,2
4864998.53670692,-7633.55566019402,2
4864998.54197822,-7633.55278384592,2
4864998.14467031,-7633.76957967132,2
4864998.14467031,-7633.76957967132,2
4864996.68730044,-7634.45081687975,2
4864956.09648786,-7640.90476120287,1
4864953.85559962,-7636.79802788259,1
4864977.64272866,-7622.01639303123,1
4864982.73794044,-7605.16533462866,1
4864983.09775648,-7604.96899669827,1
4864987.4284456,-7608.03939882875,1
4865007.43127016,-7639.12589647714,2
4864987.14715519,-7610.89663518569,1
4864997.21286161,-7634.16403812752,2
4864998.65802055,-7633.48946396215,2
4864984.46924547,-7608.3381872063,1
4864982.73794044,-7605.16533462866,1
4864982.66872778,-7605.0280900395,1
4864982.66260402,-7605.03143153992,1
4864978.73986394,-7610.52281300561,1
4864982.7361908,-7605.1662893428,1
4864982.73794044,-7605.16533462866,1
4864988.41719318,-7615.57333983481,1
4864986.68413852,-7612.40144197131,1
4864987.17720176,-7612.13239610172,1
4864985.6753686,-7610.55273352959,1
4864984.31271165,-7621.24831143511,1
4864979.37976979,-7605.8553432324,1
4864972.14329245,-7627.03365204483,1
4864990.31589864,-7601.54967677849,1
4864986.46311096,-7594.03043113137,1
4864992.486351,-7604.46738944948,1
4864988.56142431,-7608.50125145703,1
4864987.16463358,-7609.4355072144,1
4864988.89289097,-7609.42949471576,1
4864988.0898183,-7608.93066908815,1
4864956.81871547,-7639.91822269792,1
4864966.79847686,-7633.44890794437,1
4864992.76205768,-7624.66192625486,1
4864994.49336271,-7627.83477883344,1
4864992.61197306,-7636.80275907135,2
4865001.6076286,-7637.53552120877,1
4864996.60468414,-7627.48457358428,1
4864982.76885933,-7632.08367401478,2
4864978.96183597,-7629.7726923374,1
4864992.19830439,-7621.00930489274,1
4864992.69115957,-7620.74037255696,1
4864992.06321611,-7621.0830174326,1
4864991.53448698,-7617.74063347001,1
4864992.49956855,-7627.14477628795,1
4864986.77397508,-7627.10902557406,1
4864986.4098338,-7626.44168701931,1
4864987.56369954,-7621.83506645192,1
4864987.94707362,-7613.54378611245,1
4864988.44013687,-7613.27474024263,1
4864989.00986385,-7615.48733298364,1
4864988.62664803,-7614.7850377392,1
4864986.94879249,-7611.71013861755,1
4864985.1493715,-7608.41245424282,1
4864987.44185574,-7611.44109274773,1
4864984.28748899,-7606.83293700451,1
4864983.13131498,-7606.4116020978,1
4864984.28748899,-7606.83293700451,1
4864987.0999719,-7611.98719551461,1
4864983.1415649,-7602.91538225557,1
4864983.10397801,-7602.18106829305,1
4864985.18179646,-7608.94318844611,1
4864990.3090434,-7620.80455475277,1
4864984.23636263,-7609.67553901416,1
4864998.3288829,-7635.50200441293,2
4864999.41507265,-7635.02330607921,2
4865000.55009717,-7634.86655562022,2
4864999.41507265,-7635.02330607921,2
4865001.27655974,-7638.73171933182,2
4864994.01859033,-7625.43050051713,1
4864998.91957064,-7635.48667450529,2
4864996.76718998,-7628.21025418211,1
4864998.05163894,-7631.15313386335,1
4864991.36911234,-7618.31754068635,1
4864990.86440367,-7617.39259323012,1
4864994.56575489,-7624.17582414229,1
4864990.86440367,-7617.39259323012,1
4864989.77402059,-7616.56647418928,1
4864990.1669196,-7617.28651521215,1
4864990.1669196,-7617.28651521215,1
4864999.31308437,-7635.54154647584,2
4864982.51245446,-7603.2586639009,1
4864999.31308437,-7635.54154647584,2
4864981.884511,-7603.6013087763,1
4864982.51245446,-7603.2586639009,1
4864999.31308437,-7635.54154647584,2
4865006.24125488,-7640.63604708808,2
4864988.8666012,-7612.62637459673,1
4865005.91187036,-7640.35319042928,2
4864989.23798796,-7615.58412128966,1
4864996.62323711,-7629.11859759316,1
4864995.09656098,-7626.3207553688,1
4864989.09944476,-7616.82365889568,1
4864988.87733964,-7615.2439694535,1
4864989.01221986,-7615.17037044792,1
4864990.03203938,-7617.36011421774,1
4864988.87733964,-7615.2439694535,1
4864988.87733964,-7615.2439694535,1
4864989.01221986,-7615.17037044792,1
4864999.94102784,-7635.19890160044,2
4864987.45884901,-7614.70227429527,1
4864997.23292485,-7630.26201771712,1
4865003.13934559,-7639.91418259288,1
4865002.6554865,-7640.17820610292,1
4864992.17778148,-7623.06057454366,1
4864995.06599666,-7632.43659168854,1
4864996.86191188,-7635.43337537278,1
4864995.04111687,-7632.450167645,1
