LATITUDE,LONGITUDE,FLOOR
4864982.81554,-7595.21793999989,1
4864983.64492649,-7594.26970918803,1
4864983.14745105,-7594.5411626217,1
4864982.23374,-7595.03974000062,1
4864982.12256,-7595.42756000045,1
4864982.12256,-7595.42756000045,1
4864982.12256,-7595.42756000045,1
4864982.12256,-7595.42756000045,1
4864982.52464,-7595.1288400006,1
4864984.55359147,-7594.35345673631,1
4864982.52464,-7595.12884000014,1
4864982.23374,-7595.03974000062,1
4864982.52464,-7595.12884000014,1
4864982.59318,-7595.99357999978,1
4864948.47632,-7644.26210000063,1
4864982.30228,-7595.90448000073,1
4864982.30228,-7595.90448000026,1
4864982.12256,-7595.42756000045,1
4864982.12256,-7595.42756000045,1
4864982.81554,-7595.21793999989,1
4864980.87167595,-7598.11629990512,1
4864981.39394,-7599.07342000073,1
4864981.53843955,-7596.64843199612,1
4864955.46370196,-7640.44935132051,1
4864981.35799595,-7596.41973990458,1
4864982.70436,-7595.60575999995,1
4864981.581627,-7595.64340634272,1
4864981.42836923,-7600.44266858301,1
4864982.70436,-7595.60575999995,1
4864980.87095236,-7598.36452781246,1
4864981.35799595,-7596.41973990435,1
4864982.30228,-7595.90448000073,1
4864982.70436,-7595.60576000041,1
4864981.62866177,-7600.66217337851,1
4864982.70436,-7595.60576000041,1
4864982.52464,-7595.12884000014,1
4864981.42836923,-7600.44266858301,1
4864981.64367077,-7595.60955141787,1
4864982.1032,-7596.59926000051,1
4864981.82339077,-7596.08647141769,1
4864981.22745595,-7597.97925990424,1
4864982.41346,-7595.51666000043,1
4864980.88151973,-7599.35302826017,1
4864981.44994019,-7600.39473626437,1
4864981.87862,-7597.38234000071,1
4864981.82580378,-7598.83776835678,1
4864981.460562,-7596.61619169661,1
4864981.51554378,-7599.92036835616,1
4864981.78779906,-7601.01390873059,1
4864981.82580378,-7598.83776835678,1
4864981.89955906,-7600.62412873097,1
4864980.31646503,-7602.73006268428,1
4864977.72974,-7610.75327999983,1
4864980.4243808,-7607.05595577532,1
4864977.34876,-7614.50034000026,1
4864976.92224,-7615.98804000043,1
4864976.98444,-7613.35296000098,1
4864977.35988,-7614.4611800008,1
4864977.41096,-7611.86526000034,1
4864976.98444,-7613.35296000098,1
4864976.98444,-7613.35296000098,1
4864979.04987025,-7610.71215768973,1
4864985.81992739,-7626.62056648312,1
4864986.25698303,-7626.38208183344,1
4864982.4094,-7624.40272000106,1
4864985.99047707,-7626.52750400733,1
4864986.70957255,-7631.72146777273,2
4864987.02211904,-7630.6060784671,2
4864986.31229499,-7630.99340246478,2
4864986.70957255,-7631.72146777273,2
4864986.04289162,-7631.14040564466,2
4864986.04289162,-7631.14040564466,2
4864986.04289162,-7631.14040564466,2
4864986.04289162,-7631.14040564466,2
4864988.31608517,-7634.66562125017,2
4864985.29992761,-7631.54581285664,2
4864986.17221548,-7631.06983852759,2
4864986.04289162,-7631.14040564466,2
4864988.31271535,-7634.6674600346,2
4864989.80888269,-7636.77668359433,2
4864988.31271535,-7634.6674600346,2
4864988.0466818,-7634.81262442959,2
4864976.37495839,-7615.56159869116,1
4864976.34688,-7615.57692000153,1
4864976.37495839,-7615.56159869116,1
4864979.81578,-7618.46296000155,1
4864979.81578,-7618.46296000155,1
4864978.67282,-7618.13532000105,1
4864989.01432758,-7635.32055297936,2
4864983.8301,-7625.80372000136,1
4864988.44395935,-7635.54068973707,2
4864988.71336273,-7635.39368655719,2
4864981.70408,-7622.54822000046,1
4864981.70408,-7622.54822000046,1
4864981.70408,-7622.54822000116,1
4864981.70408,-7622.54822000116,1
4864981.70408,-7622.54822000116,1
4864984.53542,-7627.65822000103,1
4864984.53542,-7627.65822000103,1
4864983.96069262,-7626.68377039209,1
4864983.56069663,-7625.95072318078,1
4864983.39246,-7627.33058000123,1
4864979.57806,-7619.29272000119,1
4864976.74672,-7614.18272000039,1
4864976.64277257,-7611.66332717799,1
4864977.43588231,-7612.5436406848,1
4864979.00333262,-7618.31827039179,1
4864976.71840645,-7613.4981243955,1
4864978.72219663,-7617.17034318019,1
4864976.59954645,-7613.91300439555,1
4864981.43467663,-7622.69522318104,1
4864976.5468,-7614.87982000108,1
4864983.8301,-7625.80372000136,1
4864986.80686401,-7634.63539278996,1
4864988.08041663,-7635.84308318119,1
4864988.34982,-7635.69608000154,1
4864988.34982,-7635.69608000154,1
4864988.20961826,-7637.20613127132,2
4865008.27613885,-7641.33285699831,1
4864982.63935032,-7627.37822476053,1
4864988.96814777,-7636.29059611028,2
4864987.5491,-7635.1396600015,1
4864988.31651258,-7632.20312717813,1
4864985.16639257,-7628.20510717854,1
4864981.95353262,-7623.01339039207,1
4864979.57806,-7619.29272000119,1
4864981.83467262,-7623.42827039235,1
4864979.43088645,-7619.02300439612,1
4864979.57806,-7619.29272000119,1
4864979.57806,-7619.29272000119,1
4864985.13679258,-7626.99332717806,1
4864985.67838,-7627.98586000083,1
4864983.96069262,-7626.68377039209,1
4864981.83467262,-7623.42827039235,1
4864982.27231262,-7621.90141039202,1
4864980.56108,-7615.86328000063,1
4864979.03647257,-7618.30018717819,1
4864979.03647257,-7618.30018717819,1
4864980.0157,-7617.76586000063,1
4864980.0157,-7617.76586000063,1
4864982.27231262,-7621.90141039202,1
4864980.0157,-7617.76586000063,1
4864985.67838,-7627.98586000083,1
4864987.93499262,-7632.12141039269,1
4864981.83467262,-7623.42827039235,1
4864981.83467262,-7623.42827039235,1
4864988.44395935,-7635.54068973707,2
4864988.44395935,-7635.54068973707,2
4864990.32232293,-7636.49651877885,2
4864988.47709931,-7635.52260652324,2
4864991.84645609,-7636.90606479789,2
4864985.13679257,-7626.99332717853,1
4864989.57935892,-7636.90192599036,2
4865003.95545977,-7638.57109209709,1
4865006.58462317,-7640.50777830323,1
4864994.27812012,-7636.86829403369,1
4865001.98030544,-7637.71655958565,1
4865008.41346364,-7641.5128790352,1
4865008.41346364,-7641.51287903474,1
4865008.41346364,-7641.51287903474,1
4865006.23346161,-7640.4113802067,1
4864987.13578926,-7625.90255068918,1
4864988.0466818,-7634.81262442959,2
4864979.86852645,-7617.49614439555,1
4864988.0466818,-7634.81262442959,2
4864979.86852645,-7617.49614439555,1
4864976.59954645,-7613.91300439555,1
4864988.0466818,-7634.81262442959,2
4864989.02590922,-7634.27829725202,2
4864978.67282,-7618.13532000105,1
4864988.54560894,-7634.54037885368,2
4864979.57806,-7619.29272000119,1
4865000.46252545,-7637.28151958552,1
4864985.13679257,-7626.99332717853,1
4864985.10365262,-7627.01141039189,1
4864981.83467262,-7623.42827039235,1
4864984.66601262,-7628.53827039199,1
4864987.53499663,-7631.38836318045,1
4864985.67838,-7627.98586000083,1
4864982.4094,-7624.40272000106,1
4864982.4094,-7624.40272000106,1
4864988.91267799,-7636.32086386252,2
4864990.24115599,-7636.85656721285,1
4865008.58738953,-7641.29650649312,1
4865008.55817228,-7641.7780773479,1
4865005.33481742,-7639.17470098427,1
4864996.68042,-7638.08392000105,1
4864997.02652,-7638.1830800015,1
4865006.13183836,-7639.56511966325,1
4865006.18291177,-7639.65871864487,1
4865005.95791247,-7639.78149220464,1
4865003.94357997,-7638.43291360186,2
4865007.32203676,-7638.22927279002,2
4865009.77628769,-7639.98060001689,2
4865006.51093927,-7638.50134989107,2
4865009.77628769,-7639.98060001689,2
4865006.4934439,-7638.46928723785,2
4865009.77628769,-7639.98060001689,2
4865010.51569193,-7639.5771352367,2
4865010.51569193,-7639.5771352367,2
4865011.67047652,-7638.94701318629,2
4865009.77628769,-7639.98060001689,2
4865010.94045852,-7639.34535625507,2
4865004.5278846,-7639.37207795121,1
4865007.0301767,-7641.211447187,1
4865007.03956293,-7641.20632547513,1
4865008.16262293,-7641.52828547475,1
4865004.12978883,-7638.64251317061,1
4865009.37786717,-7640.98664069385,1
4865009.6873,-7641.26317999978,1
4865007.7026734,-7641.41134413914,1
4865010.16314,-7641.1249999993,1
4865009.74966,-7641.0064600003,1
4865010.93508,-7641.07170000044,1
4865010.93508,-7641.07170000067,1
4865009.74966,-7641.0064600003,1
4865011.07978864,-7641.3368983143,1
4865010.16314,-7641.1249999993,1
4865011.37919541,-7641.88560205023,1
4865010.15983323,-7640.66117626498,1
4865011.63337341,-7641.62543898239,1
4865011.63337341,-7641.62543898239,1
4865010.0706446,-7640.49772593263,1
4865008.64849323,-7640.22807626356,1
4865011.63337341,-7641.62543898239,1
4865010.57331323,-7640.77971626446,1
4865009.665318,-7640.37473693211,1
4865009.52505596,-7640.11768761836,1
4865011.54418477,-7641.46198865003,1
4865008.9601846,-7640.17946593137,1
4865009.665318,-7640.37473693211,1
4865008.63589323,-7640.22437626403,1
4865010.1456046,-7640.24470593198,1
4865010.15983323,-7640.66117626498,1
4865008.90202717,-7641.12482069456,1
4865011.63337341,-7641.62543898192,1
4865011.5823,-7641.53184000123,1
4865011.63337341,-7641.62543898239,1
4865009.09898996,-7640.89587779017,1
4865012.05814,-7641.39366000029,1
4865012.05814,-7641.39366000029,1
4865012.05814,-7641.39366000076,1
4865011.63337341,-7641.62543898192,1
4865012.10921341,-7641.48725898145,1
4865009.45009596,-7640.37070761877,1
4865007.92615596,-7639.93390761875,1
4865009.45009596,-7640.37070761877,1
4865009.45009596,-7640.37070761877,1
4865009.52505596,-7640.11768761836,1
4865009.665318,-7640.37473693211,1
4865010.45924,-7641.20988000091,1
4865010.066198,-7640.48957693251,1
4865012.10921341,-7641.48725898145,1
4865011.63337341,-7641.62543898192,1
4865011.65726,-7641.27882000012,1
4865012.50225541,-7642.20756204915,1
4865011.63337341,-7641.62543898239,1
4865011.68444681,-7641.71903796354,1
4865011.63337341,-7641.62543898192,1
4865012.10921341,-7641.48725898145,1
4865012.10921341,-7641.48725898145,1
4865012.50225541,-7642.20756204962,1
4865012.10921341,-7641.48725898098,1
4865011.36980917,-7641.89072376164,1
4865013.65704,-7641.57743999967,1
4865010.56138681,-7641.39707796346,1
4865012.50225541,-7642.20756204962,1
4865010.50092717,-7641.30860069394,1
4865013.23227341,-7641.8092189813,1
4865010.89396917,-7642.02890376258,1
4865012.50225541,-7642.20756204962,1
4865011.36980917,-7641.8907237621,1
4865012.37798477,-7641.34060066729,1
4865011.68444681,-7641.71903796308,1
4865010.26198004,-7640.84837422729,1
4865012.10921341,-7641.48725898145,1
4865012.50225541,-7642.20756204915,1
4865010.5093013,-7638.55520183523,2
4865010.08616989,-7638.87673793966,2
4865010.9183347,-7638.66559283459,2
4865009.66140329,-7639.10851692222,2
4865009.66140329,-7639.10851692175,2
4865005.40182036,-7639.96346273157,1
4865004.5278846,-7639.37207795121,1
4865009.665318,-7640.37473693211,1
4865011.5823,-7641.53184000077,1
4865011.5823,-7641.53184000077,1
4865011.5823,-7641.53184000077,1
4865011.5823,-7641.53184000077,1
4865012.02641541,-7642.34574205009,1
4865011.5823,-7641.53184000077,1
4865010.50092717,-7641.30860069417,1
4865001.0981,-7639.35000000172,1
4865010.11727141,-7640.58317591366,1
4865010.066198,-7640.48957693228,1
4865009.32679377,-7640.89304171247,1
4865002.99228883,-7638.31641317112,1
4865001.0981,-7639.35000000172,1
4865010.11727141,-7640.58317591366,1
4865010.05681177,-7640.49469864415,1
4865008.92436553,-7640.1778603564,1
4865004.5278846,-7639.37207795121,1
4865000.0598,-7639.05252000177,1
4865006.13183836,-7639.56511966325,1
4865006.13183836,-7639.56511966325,1
4865003.39038459,-7639.04597795173,1
4865005.7337426,-7638.83555488242,1
4865005.95791247,-7639.78149220464,1
4865006.13183836,-7639.56511966325,1
4865005.054798,-7639.32749693259,1
4865006.84123447,-7640.36775527336,1
4865006.13183836,-7639.56511966325,1
4865006.63984311,-7640.533793587,1
4865008.89868988,-7641.36957732146,1
4865006.84123447,-7640.36775527289,1
4865000.58344153,-7639.05480233789,1
4864994.75338222,-7636.89885929436,1
4864988.86447331,-7637.29201189196,2
4864998.06959013,-7637.325902679,1
4864997.02652,-7638.1830800015,1
4864998.25236083,-7638.19950877759,1
4864998.88812,-7638.71664000209,1
4865001.05064224,-7639.37589589832,1
4864990.32232293,-7636.49651877931,2
4864990.85135334,-7636.20784699474,2
4864991.5611774,-7635.8205229966,2
4864991.59431735,-7635.80243978277,2
4864995.09741233,-7634.83577860147,2
4864991.5611774,-7635.8205229966,2
4864990.58194997,-7636.35485017393,2
4864990.32232293,-7636.49651877885,2
4864990.98412,-7636.45116000087,1
4864989.45126517,-7634.9910412496,2
4864989.34432562,-7635.04939409834,2
4864991.68870478,-7636.69578071614,2
4864989.34432562,-7635.04939409834,2
4864989.34432562,-7635.04939409834,2
4864989.31624722,-7635.06471540849,2
4864988.91896967,-7634.336650101,2
4864989.31624723,-7635.06471540802,2
4864989.31624722,-7635.06471540849,2
4864989.31624723,-7635.06471540802,2
4864986.91011793,-7630.66719321953,2
4864986.54518859,-7630.86632128409,2
4864987.30371779,-7635.2180316411,2
4864986.6764326,-7631.73955098656,2
4864985.85495648,-7632.48416224495,2
4864985.85495648,-7632.48416224495,2
4864986.53164057,-7632.11492146086,2
4864987.510868,-7631.5805942833,2
4864986.80104395,-7631.96791828121,2
4864986.53164057,-7632.11492146086,2
4864979.57806,-7619.29272000119,1
4864983.55061045,-7628.18231718475,1
4864980.56112,-7622.22058000113,1
4864979.57806,-7619.29272000119,1
4864984.53542,-7627.65822000057,1
4864982.4094,-7624.40272000106,1
4864987.53499663,-7631.38836318045,1
4864987.53499663,-7631.38836318045,1
4864984.26601662,-7627.80522318068,1
4864984.53542,-7627.65822000103,1
4864990.55858635,-7636.36759881326,2
4864985.54194,-7631.46928000101,1
4864977.0411,-7615.57316000131,1
4864979.2417,-7623.47324000089,1
4864979.97814941,-7623.12669614865,1
4864977.0411,-7615.57316000131,1
4864981.43467663,-7622.69522318104,1
4864984.21664,-7628.77020000154,1
4864979.37814,-7619.98982000165,1
4864981.70408,-7622.54822000116,1
4864985.08084,-7632.11294000153,1
4864985.82380401,-7631.70753279049,1
4864984.09778,-7629.18508000113,1
4864982.4094,-7624.40272000106,1
4864982.4094,-7624.40272000106,1
4864985.96297923,-7632.23287736368,1
4864982.4094,-7624.40272000106,1
4864986.2238,-7632.44058000157,1
4864987.09735663,-7632.91522318148,1
4864981.70408,-7622.54822000116,1
4864987.94982401,-7634.96303279023,1
4864985.58025061,-7634.7951681437,2
4864986.5377182,-7636.54985808511,2
4864977.86299089,-7610.99750043382,1
4864976.74672,-7614.18272000039,1
4864982.95932405,-7626.61561600352,1
4864987.63282956,-7638.55679900083,2
4864988.42412184,-7639.36622842425,2
4864976.74672,-7614.18272000039,1
4864986.0639,-7635.04080000147,1
4864984.3343552,-7630.18299987959,2
4864985.6124741,-7630.43042355077,2
4864986.85396115,-7630.69783583959,2
4864988.27810322,-7635.72228262085,2
4864988.98455745,-7635.33679740829,2
4864986.58011989,-7630.93835210055,2
4864985.87366566,-7631.32383731357,2
